SegmentID,LongFrom,LatFrom,LongTo,LatTo,persons_injured,persons_killed,ped_injured,ped_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,persons_KSI,ped_KSI,cyclist_KSI,motorist_KSI,result,to
81403,-73.87072006,40.89790839,-73.86732014,40.89827216,1,0,1,0,0,0,0,0,1,1,0,0,"147 E 236th St, The Bronx, NY 10470, USA","4293 Katonah Ave, The Bronx, NY 10470, USA"
81288,-73.88516981,40.89459323,-73.88457012,40.89787699,0,0,0,0,0,0,0,0,0,0,0,0,"Mosholu Pkwy, The Bronx, NY 10471, USA","Mosholu Pkwy, The Bronx, NY 10471, USA"
69926,-73.92194972,40.8104056,-73.91843165,40.80892366,1,0,0,0,1,0,0,0,1,0,1,0,"383 E 139th St, The Bronx, NY 10454, USA","296 Brook Ave, The Bronx, NY 10454, USA"
69926,-73.92194972,40.8104056,-73.91843165,40.80892366,1,0,0,0,1,0,0,0,1,0,1,0,"383 E 139th St, The Bronx, NY 10454, USA","296 Brook Ave, The Bronx, NY 10454, USA"
69926,-73.92194972,40.8104056,-73.91843165,40.80892366,1,0,0,0,1,0,0,0,1,0,1,0,"383 E 139th St, The Bronx, NY 10454, USA","296 Brook Ave, The Bronx, NY 10454, USA"
69926,-73.92194972,40.8104056,-73.91843165,40.80892366,1,0,0,0,1,0,0,0,1,0,1,0,"383 E 139th St, The Bronx, NY 10454, USA","296 Brook Ave, The Bronx, NY 10454, USA"
99454,-73.79365523,40.80408776,-73.79362907,40.8003963,0,0,0,0,0,0,0,0,0,0,0,0,"Throgs Neck Bridge, New York, NY, USA","Throgs Neck Bridge, New York, NY, USA"
187666,-73.8800658,40.78584929,-73.88508605,40.78683549,0,0,0,0,0,0,0,0,0,0,0,0,"Unnamed Road, Astoria, NY 11105, USA","Rikers Island Rdwy/Rikers Island, The Bronx, NY 11105, USA"
81407,-73.87097655,40.89926435,-73.86757303,40.89963116,0,0,0,0,0,0,0,0,0,0,0,0,"4330 Kepler Ave, The Bronx, NY 10470, USA","4330 Katonah Ave, The Bronx, NY 10470, USA"
179712,-73.83329318,40.86859477,-73.83490444,40.87191198,0,0,0,0,0,0,0,0,0,0,0,0,"1945 Bartow Ave, The Bronx, NY 10469, USA","1950 Adee Ave, The Bronx, NY 10469, USA"
121040,-73.90288034,40.80874479,-73.90222285,40.80494811,1,0,0,0,0,0,1,0,1,0,0,1,"967 E 149th St, The Bronx, NY 10454, USA","1020 E 149th St, The Bronx, NY 10455, USA"
121040,-73.90288034,40.80874479,-73.90222285,40.80494811,1,0,0,0,0,0,1,0,1,0,0,1,"967 E 149th St, The Bronx, NY 10454, USA","1020 E 149th St, The Bronx, NY 10455, USA"
87256,-73.83551326,40.82772637,-73.83169663,40.82653497,1,0,1,0,0,0,0,0,1,1,0,0,"2600 Cross Bx Expressway S Service Rd, The Bronx, NY 10465, USA","2708 Lafayette Ave, The Bronx, NY 10465, USA"
87256,-73.83551326,40.82772637,-73.83169663,40.82653497,1,0,1,0,0,0,0,0,1,1,0,0,"2600 Cross Bx Expressway S Service Rd, The Bronx, NY 10465, USA","2708 Lafayette Ave, The Bronx, NY 10465, USA"
121132,-73.87475674,40.87316338,-73.87194937,40.87702535,0,0,0,0,0,0,0,0,0,0,0,0,"375 E 205th St, The Bronx, NY 10467, USA","3333 Webster Ave, The Bronx, NY 10467, USA"
187389,-73.87197281,40.78707375,-73.8800658,40.78584929,0,0,0,0,0,0,0,0,0,0,0,0,"Unnamed Road, Flushing, NY 11371, USA","Unnamed Road, Astoria, NY 11105, USA"
99733,-73.79570631,40.8668814,-73.79928841,40.86801682,0,0,0,0,0,0,0,0,0,0,0,0,"1 Orchard Be Road, The Bronx, NY 10464, USA","Park Dr, The Bronx, NY 10464, USA"
69924,-73.92239945,40.80978051,-73.91880433,40.80826172,0,0,0,0,0,0,0,0,0,0,0,0,"249 Willis Ave, The Bronx, NY 10454, USA","513 E 139th St, The Bronx, NY 10454, USA"
119701,-73.80773221,40.86272771,-73.81325022,40.86443156,0,0,0,0,0,0,0,0,0,0,0,0,"1 City Island Rd, The Bronx, NY 10464, USA","City Island Rd/Shore Rd, The Bronx, NY 10464, USA"
119701,-73.80773221,40.86272771,-73.81325022,40.86443156,0,0,0,0,0,0,0,0,0,0,0,0,"1 City Island Rd, The Bronx, NY 10464, USA","City Island Rd/Shore Rd, The Bronx, NY 10464, USA"
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0,"36 Food Center Dr, The Bronx, NY 10474, USA","155 Food Center Dr, The Bronx, NY 10474, USA"
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0,"36 Food Center Dr, The Bronx, NY 10474, USA","155 Food Center Dr, The Bronx, NY 10474, USA"
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0,"36 Food Center Dr, The Bronx, NY 10474, USA","155 Food Center Dr, The Bronx, NY 10474, USA"
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0,"36 Food Center Dr, The Bronx, NY 10474, USA","155 Food Center Dr, The Bronx, NY 10474, USA"
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0,"36 Food Center Dr, The Bronx, NY 10474, USA","155 Food Center Dr, The Bronx, NY 10474, USA"
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0,"36 Food Center Dr, The Bronx, NY 10474, USA","155 Food Center Dr, The Bronx, NY 10474, USA"
175759,-73.88022082,40.80941565,-73.87499034,40.81018583,0,0,0,0,0,0,0,0,0,0,0,0,"36 Food Center Dr, The Bronx, NY 10474, USA","155 Food Center Dr, The Bronx, NY 10474, USA"
81410,-73.87109852,40.8999468,-73.86770113,40.90031162,0,0,0,0,0,0,0,0,0,0,0,0,"4349 Kepler Ave, The Bronx, NY 10470, USA","Katonah Av/E 239 St, The Bronx, NY 10470, USA"
95430,-73.81822433,40.87749692,-73.81629724,40.88309414,0,0,0,0,0,0,0,0,0,0,0,0,"Hutchinson River Pkwy, The Bronx, NY 10464, USA","Hutchinson River Pkwy, The Bronx, NY 10475, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
79950,-73.89732721,40.87144523,-73.89407273,40.87558775,1,0,1,0,0,0,0,0,1,1,0,0,"Goulden Av/W 197 St, The Bronx, NY 10463, USA","Goulden Av/Bedford PK Bl, The Bronx, NY, USA"
85725,-73.83667856,40.81758876,-73.83646794,40.82095697,0,0,0,0,0,0,0,0,0,0,0,0,"555 Hutchinson River Pkwy, The Bronx, NY 10465, USA","650 Brush Ave, The Bronx, NY 10465, USA"
107384,-73.86656053,40.8897532,-73.86368528,40.8943246,0,0,0,0,0,0,0,0,0,0,0,0,"159 Webster Ave, The Bronx, NY 10470, USA","4161 Webster Ave, The Bronx, NY 10470, USA"
178410,-73.86786602,40.88417839,-73.86648542,40.8874822,0,0,0,0,0,0,0,0,0,0,0,0,"3536 Webster Ave, The Bronx, NY 10467, USA","560 E 233rd St, The Bronx, NY 10470, USA"
194606,-73.84363793,40.85750163,-73.83768048,40.85664184,0,0,0,0,0,0,0,0,0,0,0,0,"Pelham Pkwy/Stillwell Av, The Bronx, NY 10469, USA","1690 Pelham Pkwy S, The Bronx, NY 10461, USA"
